Condition,SetSize,PageSize,NavDelay,Trial Number,Time,Errors,PageChanges,Target Icon
Size_256_page_1_delay_50,256,1,50,1,53829,0,205,swellow.jpg
Size_256_page_1_delay_50,256,1,50,2,20961,0,92,magby.jpg
Size_256_page_1_delay_50,256,1,50,3,11546,0,46,terrakion.jpg
Size_256_page_1_delay_50,256,1,50,4,13545,0,48,nidoran-m.jpg
Size_256_page_2_delay_300,256,2,300,1,26187,0,49,conkeldurr.jpg
Size_256_page_2_delay_300,256,2,300,2,27286,0,55,sigilyph.jpg
Size_256_page_2_delay_300,256,2,300,3,2877,0,4,simipour.jpg
Size_256_page_2_delay_300,256,2,300,4,29342,0,53,togepi.jpg
Size_256_page_4_delay_500,256,4,500,1,12774,0,11,urshifu.jpg
Size_256_page_4_delay_500,256,4,500,2,12249,0,7,vibrava.jpg
Size_256_page_4_delay_500,256,4,500,3,2752,0,1,raichu.jpg
Size_256_page_4_delay_500,256,4,500,4,17952,0,14,noivern.jpg
Size_256_page_8_delay_4000,256,8,4000,1,6324,0,3,avalugg.jpg
Size_256_page_8_delay_4000,256,8,4000,2,34699,0,10,raging-bolt.jpg
Size_256_page_8_delay_4000,256,8,4000,3,1707,0,0,wailord.jpg
Size_256_page_8_delay_4000,256,8,4000,4,19939,0,1,omanyte.jpg
Size_256_page_16_delay_6000,256,16,6000,1,11093,0,0,boldore.jpg
Size_256_page_16_delay_6000,256,16,6000,2,13633,0,0,braixen.jpg
Size_256_page_16_delay_6000,256,16,6000,3,5431,0,0,garchomp.jpg
Size_256_page_16_delay_6000,256,16,6000,4,1812,0,0,shuppet.jpg
Size_512_page_1_delay_50,512,1,50,1,129749,0,411,sirfetchd.jpg
Size_512_page_1_delay_50,512,1,50,2,63883,0,260,grookey.jpg
Size_512_page_1_delay_50,512,1,50,3,44632,0,169,swalot.jpg
Size_512_page_1_delay_50,512,1,50,4,115666,0,420,beheeyem.jpg
Size_512_page_2_delay_300,512,2,300,1,64662,0,123,pecharunt.jpg
Size_512_page_2_delay_300,512,2,300,2,29096,0,56,swellow.jpg
Size_512_page_2_delay_300,512,2,300,3,64973,0,110,oricorio.jpg
Size_512_page_2_delay_300,512,2,300,4,83042,0,113,kleavor.jpg
Size_512_page_4_delay_500,512,4,500,1,66859,1,22,morpeko.jpg
Size_512_page_4_delay_500,512,4,500,2,61820,0,48,turtwig.jpg
Size_512_page_4_delay_500,512,4,500,3,5869,0,2,trubbish.jpg
Size_512_page_4_delay_500,512,4,500,4,2890,0,1,politoed.jpg
Size_512_page_8_delay_4000,512,8,4000,1,12522,0,2,buzzwole.jpg
Size_512_page_8_delay_4000,512,8,4000,2,36068,0,5,gumshoos.jpg
Size_512_page_8_delay_4000,512,8,4000,3,240473,0,27,aron.jpg
Size_512_page_8_delay_4000,512,8,4000,4,30743,0,5,kricketot.jpg
Size_512_page_16_delay_6000,512,16,6000,1,29121,0,1,tropius.jpg
Size_512_page_16_delay_6000,512,16,6000,2,28381,0,1,unown.jpg
Size_512_page_16_delay_6000,512,16,6000,3,89515,0,2,emolga.jpg
Size_512_page_16_delay_6000,512,16,6000,4,15735,0,1,bruxish.jpg
Size_768_page_1_delay_50,768,1,50,1,13775,0,47,caterpie.jpg
Size_768_page_1_delay_50,768,1,50,2,20570,0,77,machop.jpg
Size_768_page_1_delay_50,768,1,50,3,64420,0,246,gouging-fire.jpg
Size_768_page_1_delay_50,768,1,50,4,123068,0,489,furfrou.jpg
Size_768_page_2_delay_300,768,2,300,1,52488,0,80,gligar.jpg
Size_768_page_2_delay_300,768,2,300,2,95431,0,132,frosmoth.jpg
Size_768_page_2_delay_300,768,2,300,3,89283,0,127,marshtomp.jpg
Size_768_page_2_delay_300,768,2,300,4,73008,0,138,weavile.jpg
Size_768_page_4_delay_500,768,4,500,1,295611,0,106,raboot.jpg
Size_768_page_4_delay_500,768,4,500,2,1653,0,0,munkidori.jpg
Size_768_page_4_delay_500,768,4,500,3,6470,0,2,fezandipiti.jpg
Size_768_page_4_delay_500,768,4,500,4,56904,0,44,gurdurr.jpg
Size_768_page_8_delay_4000,768,8,4000,1,16421,0,2,clawitzer.jpg
Size_768_page_8_delay_4000,768,8,4000,2,133722,0,16,miraidon.jpg
Size_768_page_8_delay_4000,768,8,4000,3,14229,0,2,magby.jpg
Size_768_page_8_delay_4000,768,8,4000,4,149271,0,18,eelektross.jpg
Size_768_page_16_delay_6000,768,16,6000,1,59483,0,2,perrserker.jpg
Size_768_page_16_delay_6000,768,16,6000,2,102915,1,2,chesnaught.jpg
Size_768_page_16_delay_6000,768,16,6000,3,27016,0,1,sizzlipede.jpg
Size_768_page_16_delay_6000,768,16,6000,4,56460,0,2,dragonair.jpg
Size_1024_page_1_delay_50,1024,1,50,1,86943,0,180,meltan.jpg
Size_1024_page_1_delay_50,1024,1,50,2,119498,0,509,shedinja.jpg
Size_1024_page_1_delay_50,1024,1,50,3,79731,0,330,unfezant.jpg
Size_1024_page_1_delay_50,1024,1,50,4,282549,0,950,togepi.jpg
Size_1024_page_2_delay_300,1024,2,300,1,40721,0,48,castform.jpg
Size_1024_page_2_delay_300,1024,2,300,2,152854,0,215,linoone.jpg
Size_1024_page_2_delay_300,1024,2,300,3,102553,0,134,zweilous.jpg
Size_1024_page_2_delay_300,1024,2,300,4,148943,0,152,gible.jpg
Size_1024_page_4_delay_500,1024,4,500,1,85523,1,34,solosis.jpg
Size_1024_page_4_delay_500,1024,4,500,2,151800,1,50,spoink.jpg
Size_1024_page_4_delay_500,1024,4,500,3,20011,0,6,florges.jpg
Size_1024_page_4_delay_500,1024,4,500,4,104123,0,36,escavalier.jpg
Size_1024_page_8_delay_4000,1024,8,4000,1,19508,0,6,heracross.jpg
Size_1024_page_8_delay_4000,1024,8,4000,2,8257,0,2,cryogonal.jpg
Size_1024_page_8_delay_4000,1024,8,4000,3,14975,0,4,lombre.jpg
